Time (ms),Name,Value
1,"Current (A)","0.125"
1,"Ideal Motor Speed rad-s","-35.64353827249263"
1,"Voltage (V)","-0.9970674486803519"
1,"Motor Output rad-s","-15.64660403643354"
1,"Calculated K","216.0"
1,"Frequency (Hz)","0.2"
1,"tau","1.2"
1,"Amplitude (V)","1.0"
1,"Offset (V)","0.0"
1,"K","216.0"
1,"y_of_t1","-136.53804070696845"
14113,"y_of_t1","136.53804070696845"
14113,"Current (A)","0.0"
14113,"Voltage (V)","0.9970674486803519"
14113,"Ideal Motor Speed rad-s","0.9399506068974031"
14113,"Motor Output rad-s","0.0"
14214,"Current (A)","0.5"
14221,"Ideal Motor Speed rad-s","6.640773304597732"
14221,"Motor Output rad-s","2.0708740636456158"
14313,"Ideal Motor Speed rad-s","11.885747950834336"
14313,"Motor Output rad-s","9.019807032767568"
14313,"Current (A)","0.5"
14413,"Current (A)","0.375"
14413,"Ideal Motor Speed rad-s","16.69267905880724"
14413,"Motor Output rad-s","15.508545765523833"
14512,"Ideal Motor Speed rad-s","21.089486598817356"
14512,"Motor Output rad-s","19.32815792735908"
14613,"Ideal Motor Speed rad-s","25.155772641961548"
14613,"Motor Output rad-s","23.792042020106294"
14713,"Ideal Motor Speed rad-s","28.935408393150833"
14713,"Motor Output rad-s","28.16388726558037"
14813,"Ideal Motor Speed rad-s","32.37248821770604"
14813,"Motor Output rad-s","32.3056353928716"
14913,"Ideal Motor Speed rad-s","35.513604964545905"
14913,"Motor Output rad-s","34.23845118560751"
15014,"Ideal Motor Speed rad-s","38.44454469786743"
15014,"Motor Output rad-s","37.551849687440495"
15113,"Ideal Motor Speed rad-s","41.13937439723756"
15113,"Motor Output rad-s","40.26699568199808"
15213,"Ideal Motor Speed rad-s","43.61288668476451"
15213,"Motor Output rad-s","42.98214167655567"
15313,"Ideal Motor Speed rad-s","45.85892621244494"
15314,"Motor Output rad-s","45.42117112929383"
15314,"Current (A)","0.375"
15414,"Current (A)","0.25"
15415,"Ideal Motor Speed rad-s","47.958929971435886"
15415,"Motor Output rad-s","46.84777326202749"
15514,"Ideal Motor Speed rad-s","49.88483396668488"
15514,"Motor Output rad-s","49.102725020219374"
15614,"Ideal Motor Speed rad-s","51.63925832597672"
15614,"Motor Output rad-s","50.85146311840901"
15714,"Ideal Motor Speed rad-s","53.273955934560966"
15714,"Motor Output rad-s","52.876317758418054"
15814,"Ideal Motor Speed rad-s","54.773720098496966"
15815,"Motor Output rad-s","53.934764502059146"
15914,"Ideal Motor Speed rad-s","56.15313082613182"
15914,"Motor Output rad-s","55.17728894024651"
16015,"Ideal Motor Speed rad-s","57.40931051164562"
16015,"Motor Output rad-s","57.156124156618986"
16114,"Ideal Motor Speed rad-s","58.582873977001235"
16114,"Motor Output rad-s","57.93845435844066"
16215,"Ideal Motor Speed rad-s","59.65788021063441"
16215,"Motor Output rad-s","59.088939949354895"
16315,"Ideal Motor Speed rad-s","60.64766307719503"
16315,"Motor Output rad-s","60.239425540269124"
16414,"Ideal Motor Speed rad-s","61.548232331187045"
16414,"Motor Output rad-s","61.021755742090804"
16515,"Ideal Motor Speed rad-s","62.38495923255082"
16515,"Motor Output rad-s","62.0802024857319"
16615,"Ideal Motor Speed rad-s","63.15652157997064"
16615,"Motor Output rad-s","62.77049384028044"
16715,"Ideal Motor Speed rad-s","63.86675253752625"
16715,"Motor Output rad-s","63.50680461846555"
16815,"Ideal Motor Speed rad-s","64.5107690225811"
16815,"Motor Output rad-s","64.3351542439238"
