Time (ms),Name,Value
9,"Current (A)","0.375"
9,"Ideal Motor Speed rad-s","23.426666811810918"
9,"Motor Output rad-s","29.406411703767745"
9,"Voltage (V)","0.9931573802541546"
9,"Frequency (Hz)","0.2"
9,"tau","1.3"
9,"Amplitude (V)","1.0"
9,"Offset (V)","0.0"
9,"K","227.71454"
9,"y_of_t1","143.94304227818796"
14442,"Current (A)","0.375"
14442,"Current (A)","0.375"
14442,"Voltage (V)","0.9970674486803519"
14442,"Voltage (V)","0.9970674486803519"
14442,"Ideal Motor Speed rad-s","3.448547121052601"
14442,"Ideal Motor Speed rad-s","3.448547121052601"
14442,"Motor Output rad-s","0.32213596545598466"
14442,"Motor Output rad-s","0.32213596545598466"
14543,"Current (A)","0.5"
14543,"Current (A)","0.5"
14543,"Ideal Motor Speed rad-s","8.800591223323826"
14543,"Ideal Motor Speed rad-s","8.800591223323826"
14543,"Motor Output rad-s","5.614369683661447"
14543,"Motor Output rad-s","5.614369683661447"
14543,"Voltage (V)","0.9931573802541546"
14543,"Voltage (V)","0.9931573802541546"
14642,"Ideal Motor Speed rad-s","13.747644667689093"
14642,"Ideal Motor Speed rad-s","13.747644667689093"
14642,"Motor Output rad-s","13.391652278241649"
14642,"Motor Output rad-s","13.391652278241649"
14742,"Ideal Motor Speed rad-s","18.362313335059618"
14742,"Ideal Motor Speed rad-s","18.362313335059618"
14742,"Motor Output rad-s","20.662721212819587"
14742,"Motor Output rad-s","20.662721212819587"
14842,"Ideal Motor Speed rad-s","22.640403560571"
14842,"Ideal Motor Speed rad-s","22.640403560571"
14842,"Motor Output rad-s","26.645246285573585"
14842,"Motor Output rad-s","26.645246285573585"
14842,"Current (A)","0.375"
14842,"Current (A)","0.375"
14943,"Ideal Motor Speed rad-s","26.55892340941217"
14943,"Ideal Motor Speed rad-s","26.55892340941217"
14943,"Motor Output rad-s","33.5021404074224"
14943,"Motor Output rad-s","33.5021404074224"
15043,"Ideal Motor Speed rad-s","30.25716384910201"
15043,"Ideal Motor Speed rad-s","30.25716384910201"
15043,"Motor Output rad-s","39.208548938356984"
15043,"Motor Output rad-s","39.208548938356984"
15143,"Ideal Motor Speed rad-s","33.60730364157293"
15143,"Ideal Motor Speed rad-s","33.60730364157293"
15143,"Motor Output rad-s","45.099035163837854"
15143,"Motor Output rad-s","45.099035163837854"
15243,"Ideal Motor Speed rad-s","36.72429321401959"
15243,"Ideal Motor Speed rad-s","36.72429321401959"
15243,"Motor Output rad-s","48.688550207490245"
15243,"Motor Output rad-s","48.688550207490245"
15243,"Voltage (V)","0.9970674486803519"
15243,"Voltage (V)","0.9970674486803519"
15343,"Ideal Motor Speed rad-s","39.62805348194828"
15343,"Ideal Motor Speed rad-s","39.62805348194828"
15343,"Motor Output rad-s","53.33651199478374"
15343,"Motor Output rad-s","53.33651199478374"
15443,"Voltage (V)","0.9931573802541546"
15443,"Voltage (V)","0.9931573802541546"
15443,"Ideal Motor Speed rad-s","42.31477496237133"
15443,"Ideal Motor Speed rad-s","42.31477496237133"
15443,"Motor Output rad-s","57.156124156618986"
15443,"Motor Output rad-s","57.156124156618986"
15543,"Ideal Motor Speed rad-s","44.824157719226456"
15543,"Ideal Motor Speed rad-s","44.824157719226456"
15543,"Motor Output rad-s","61.34389170754679"
15543,"Motor Output rad-s","61.34389170754679"
15644,"Ideal Motor Speed rad-s","47.09266619942406"
15644,"Ideal Motor Speed rad-s","47.09266619942406"
15644,"Motor Output rad-s","64.51923193847006"
15644,"Motor Output rad-s","64.51923193847006"
15644,"Current (A)","0.25"
15644,"Current (A)","0.25"
15745,"Ideal Motor Speed rad-s","49.23733793541717"
15745,"Ideal Motor Speed rad-s","49.23733793541717"
15745,"Motor Output rad-s","66.82020312029852"
15745,"Motor Output rad-s","66.82020312029852"
15844,"Ideal Motor Speed rad-s","51.21553217607225"
15844,"Ideal Motor Speed rad-s","51.21553217607225"
15844,"Motor Output rad-s","69.94952392758523"
15844,"Motor Output rad-s","69.94952392758523"
15943,"Ideal Motor Speed rad-s","53.04672033736464"
15943,"Ideal Motor Speed rad-s","53.04672033736464"
15943,"Motor Output rad-s","72.3885533803234"
15943,"Motor Output rad-s","72.3885533803234"
16044,"Ideal Motor Speed rad-s","54.725104774634"
16044,"Ideal Motor Speed rad-s","54.725104774634"
16044,"Motor Output rad-s","74.96564110397128"
16044,"Motor Output rad-s","74.96564110397128"
16144,"Ideal Motor Speed rad-s","56.30102785736303"
16144,"Ideal Motor Speed rad-s","56.30102785736303"
16144,"Motor Output rad-s","76.48428208397806"
16144,"Motor Output rad-s","76.48428208397806"
16244,"Ideal Motor Speed rad-s","57.760207512090496"
16244,"Ideal Motor Speed rad-s","57.760207512090496"
16244,"Motor Output rad-s","78.37107845307739"
16244,"Motor Output rad-s","78.37107845307739"
16345,"Ideal Motor Speed rad-s","59.104650913531465"
16345,"Ideal Motor Speed rad-s","59.104650913531465"
16345,"Motor Output rad-s","80.44195251672302"
16345,"Motor Output rad-s","80.44195251672302"
16445,"Ideal Motor Speed rad-s","60.33723087141164"
16445,"Ideal Motor Speed rad-s","60.33723087141164"
16445,"Motor Output rad-s","81.91457407309323"
16445,"Motor Output rad-s","81.91457407309323"
16544,"Ideal Motor Speed rad-s","61.49273415222953"
16544,"Ideal Motor Speed rad-s","61.49273415222953"
16544,"Motor Output rad-s","83.38719562946345"
16544,"Motor Output rad-s","83.38719562946345"
16644,"Ideal Motor Speed rad-s","62.5630246350923"
16644,"Ideal Motor Speed rad-s","62.5630246350923"
16644,"Motor Output rad-s","84.53768122037768"
16644,"Motor Output rad-s","84.53768122037768"
16744,"Ideal Motor Speed rad-s","63.55266320446259"
16744,"Ideal Motor Speed rad-s","63.55266320446259"
16744,"Motor Output rad-s","85.96428335311134"
16744,"Motor Output rad-s","85.96428335311134"
16847,"Ideal Motor Speed rad-s","64.46329848289601"
16849,"Ideal Motor Speed rad-s","64.46329848289601"
16849,"Motor Output rad-s","86.93069124947928"
16849,"Motor Output rad-s","86.93069124947928"
